tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,none,0.0,virgin america,,cairdin,,0,@virginamerica what @dhepburn said.,,2015-02-24 11:35:52-08:00,nan,eastern time (us & canada)
570301130888122368,positive,0.3486,none,0.0,virgin america,,jnardino,,0,@virginamerica plus you've added commercials to the experience... tacky.,,2015-02-24 11:15:59-08:00,nan,pacific time (us & canada)
570301083672813571,neutral,0.6837,none,0.0,virgin america,,yvonnalynn,,0,@virginamerica i didn't today... must mean i need to take another trip!,,2015-02-24 11:15:48-08:00,lets play,central time (us & canada)
570301031407624196,negative,1.0,bad flight,0.7033,virgin america,,jnardino,,0,"@virginamerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2015-02-24 11:15:36-08:00,nan,pacific time (us & canada)
570300817074462722,negative,1.0,can't tell,1.0,virgin america,,jnardino,,0,@virginamerica and it's a really big bad thing about it,,2015-02-24 11:14:45-08:00,nan,pacific time (us & canada)
570300767074181121,negative,1.0,can't tell,0.6842,virgin america,,jnardino,,0,@virginamerica seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying va,,2015-02-24 11:14:33-08:00,nan,pacific time (us & canada)
570300616901320704,positive,0.6745,none,0.0,virgin america,,cjmcginnis,,0,"@virginamerica yes, nearly every time i fly vx this “ear worm” won’t go away :)",,2015-02-24 11:13:57-08:00,san francisco ca,pacific time (us & canada)
570300248553349120,neutral,0.634,none,0.0,virgin america,,pilot,,0,"@virginamerica really missed a prime opportunity for men without hats parody, there. https://t.co/mwpg7grezp",,2015-02-24 11:12:29-08:00,los angeles,pacific time (us & canada)
570299953286942721,positive,0.6559,none,0.0,virgin america,,dhepburn,,0,"@virginamerica well, i didn't…but now i do! :-d",,2015-02-24 11:11:19-08:00,san diego,pacific time (us & canada)
570295459631263746,positive,1.0,none,0.0,virgin america,,yupitstate,,0,"@virginamerica it was amazing, and arrived an hour early. you're too good to me.",,2015-02-24 10:53:27-08:00,los angeles,eastern time (us & canada)
